class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jext.gui.OptionGroup;java.util.List;10;2;0;8;0;0
org.jext.gui.OptionGroup;java.util.Map;0;0;0;0;0;0
org.jext.dawn.stack.PickFunction;java.util.Set;0;0;0;0;0;0
org.jext.dawn.stack.PickFunction;java.util.List;1;0;0;1;0;0
org.jext.dawn.stack.PickFunction;java.util.Map;0;0;0;0;0;0
org.jext.Jext;java.util.Set;0;0;0;0;0;0
org.jext.Jext;java.util.List;30;9;0;18;3;0
org.jext.Jext;java.util.Map;10;6;1;3;0;0
HyperTyperSequenceList;java.util.Set;0;0;0;0;0;0
HyperTyperSequenceList;java.util.List;8;0;0;8;0;0
HyperTyperSequenceList;java.util.Map;0;0;0;0;0;0
org.jext.dawn.stack.DupnFunction;java.util.Set;0;0;0;0;0;0
org.jext.dawn.stack.DupnFunction;java.util.List;1;0;0;1;0;0
org.jext.dawn.stack.DupnFunction;java.util.Map;0;0;0;0;0;0
java.lang.Object;java.util.Set;0;0;0;0;0;0
java.lang.Object;java.util.List;3;1;1;1;0;0
java.lang.Object;java.util.Map;2;1;1;0;0;0
org.jext.JextFrame.DnDHandler;java.util.Set;0;0;0;0;0;0
org.jext.JextFrame.DnDHandler;java.util.List;1;0;0;0;1;0
org.jext.JextFrame.DnDHandler;java.util.Map;0;0;0;0;0;0
Track;java.util.Set;0;0;0;0;0;0
Track;java.util.List;1;0;1;0;0;0
Track;java.util.Map;0;0;0;0;0;0
