class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jgrapht.experimental.equivalence.EquivalenceComparatorChainBase;java.util.List;3;2;0;1;0;0
org.jgrapht.experimental.equivalence.EquivalenceComparatorChainBase;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.GraphTests;java.util.Set;24;3;1;15;5;0
org.jgrapht.experimental.GraphTests;java.util.List;7;5;0;0;2;0
org.jgrapht.experimental.GraphTests;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph.UndirectedSpecifics;java.util.Set;3;1;0;0;2;0
org.jgrapht.graph.AbstractBaseGraph.UndirectedSpecifics;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph.UndirectedSpecifics;java.util.Map;3;2;0;1;0;0
org.jgrapht.alg.BiconnectivityInspector;java.util.Set;7;2;0;2;3;0
org.jgrapht.alg.BiconnectivityInspector;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.BiconnectivityInspector;java.util.Map;0;0;0;0;0;0
org.jgrapht.demo.CompleteGraphDemo;java.util.Set;1;1;0;0;0;0
org.jgrapht.demo.CompleteGraphDemo;java.util.List;0;0;0;0;0;0
org.jgrapht.demo.CompleteGraphDemo;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.equivalence.EquivalenceSet;java.util.Set;5;2;0;1;2;0
org.jgrapht.experimental.equivalence.EquivalenceSet;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.equivalence.EquivalenceSet;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.CycleDetector;java.util.Set;4;2;0;1;1;0
org.jgrapht.alg.CycleDetector;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.CycleDetector;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.MaskVertexSet;java.util.Set;1;0;0;1;0;0
org.jgrapht.graph.MaskVertexSet;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.MaskVertexSet;java.util.Map;0;0;0;0;0;0
org.jgrapht.traverse.TopologicalOrderIterator.LinkedListQueue;java.util.Set;0;0;0;0;0;0
org.jgrapht.traverse.TopologicalOrderIterator.LinkedListQueue;java.util.List;1;1;0;0;0;0
org.jgrapht.traverse.TopologicalOrderIterator.LinkedListQueue;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.DirectedNeighborIndex;java.util.Set;0;0;0;0;0;0
org.jgrapht.alg.DirectedNeighborIndex;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.DirectedNeighborIndex;java.util.Map;8;2;2;4;0;0
org.jgrapht.experimental.isomorphism.GraphOrdering;java.util.Set;5;2;0;2;1;0
org.jgrapht.experimental.isomorphism.GraphOrdering;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.isomorphism.GraphOrdering;java.util.Map;5;1;0;4;0;0
org.jgrapht.alg.EulerianCircuit;java.util.Set;4;0;0;1;3;0
org.jgrapht.alg.EulerianCircuit;java.util.List;3;2;0;0;1;0
org.jgrapht.alg.EulerianCircuit;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.VisitedHashSetImpl;java.util.Set;3;1;1;1;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.VisitedHashSetImpl;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.VisitedHashSetImpl;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.PartiteRandomGraphGenerator;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.PartiteRandomGraphGenerator;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.PartiteRandomGraphGenerator;java.util.Map;1;1;0;0;0;0
org.jgrapht.graph.Subgraph;java.util.Set;19;5;3;5;6;0
org.jgrapht.graph.Subgraph;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.Subgraph;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.MaskSubgraph;java.util.Set;9;0;0;7;2;0
org.jgrapht.graph.MaskSubgraph;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.MaskSubgraph;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;java.util.Set;1;1;0;0;0;0
org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;java.util.List;1;1;0;0;0;0
org.jgrapht.alg.ConnectivityInspector.MyTraversalListener;java.util.Map;1;1;0;0;0;0
org.jgrapht.Graphs;java.util.Set;0;0;0;0;0;0
org.jgrapht.Graphs;java.util.List;5;5;0;0;0;0
org.jgrapht.Graphs;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.DefaultGraphMapping;java.util.Set;0;0;0;0;0;0
org.jgrapht.graph.DefaultGraphMapping;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.DefaultGraphMapping;java.util.Map;1;0;0;1;0;0
org.jgrapht.graph.AbstractBaseGraph.UndirectedEdgeContainer;java.util.Set;3;1;1;1;0;0
org.jgrapht.graph.AbstractBaseGraph.UndirectedEdgeContainer;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph.UndirectedEdgeContainer;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.ScaleFreeGraphGenerator;java.util.Set;0;0;0;0;0;0
